customer_id,customer_size,annual_revenue,industry,c_level_engagement,open_deals,customer_sign_up_date,amount_ARR_cloud,amount_ARR_on_prem,feature_1_usage,feature_2_usage,feature_3_usage,next_renewal_date,last_qbr_date,amount_ARR_total,customer_age,days_between_renewal_and_qbr,churned
1,1475,804596.82,Finance,medium,1,2014-03-07,119194.17,8167.7,medium,high,low,2017-03-07,2015-07-08,127361.87,142,608,0
2,1552,871342.57,Healthcare,medium,0,2020-09-07,91621.09,10043.98,medium,high,high,2023-09-07,2023-04-24,101665.06999999999,63,136,0
3,1773,1043744.66,Retail,medium,0,2016-08-26,278745.96,5539.81,high,high,high,2019-08-26,2017-05-15,284285.77,112,833,0
4,1518,992437.78,Healthcare,medium,1,2020-09-04,195754.58,7356.65,high,high,high,2023-09-04,2020-11-11,203111.22999999998,63,1027,0
5,1931,1238123.57,Healthcare,high,0,2015-05-28,188470.47,6479.03,low,high,high,2018-05-28,2018-02-14,194949.5,128,103,0
6,1991,1062447.12,Manufacturing,medium,0,2019-07-10,153223.5,4980.72,medium,high,low,2022-07-10,2020-03-26,158204.22,77,836,0
7,1613,743224.08,Retail,medium,0,2016-08-04,147776.5,9142.77,medium,high,high,2019-08-04,2019-07-23,156919.27,113,12,1
8,1331,1059595.28,Manufacturing,low,0,2013-10-02,103419.85,6832.8,medium,high,high,2016-10-02,2016-03-02,110252.65000000001,148,214,1
9,1621,1009041.28,Education,medium,1,2011-06-07,262800.83,7658.89,medium,low,high,2014-06-07,2014-03-24,270459.72000000003,176,75,0
10,1299,875176.15,Government,medium,0,2017-08-01,87711.28,7888.88,high,high,high,2020-08-01,2020-04-15,95600.16,101,108,0
11,1584,1282268.97,Education,medium,0,2020-02-19,286714.64,5914.93,high,high,high,2023-02-19,2021-08-06,292629.57,70,562,0
12,1788,1116986.54,Healthcare,medium,1,2013-02-28,618765.62,6626.51,medium,high,high,2016-02-28,2013-12-19,625392.13,155,801,0
13,1552,893263.73,Education,medium,0,2011-05-25,95046.25,11107.77,high,medium,high,2014-05-25,2012-03-19,106154.02,176,797,1
14,1350,662055.26,Automotive,medium,0,2018-07-10,520423.59,7288.66,high,high,low,2021-07-10,2019-03-29,527712.25,90,834,0
15,1886,1047559.54,Manufacturing,high,1,2020-12-10,100229.05,7989.15,low,high,high,2023-12-10,2022-04-21,108218.2,60,598,1
16,1438,989472.82,Retail,medium,0,2018-12-12,253871.27,7277.36,high,low,high,2021-12-12,2021-09-08,261148.62999999998,84,95,0
17,1444,1045537.02,Technology,medium,0,2022-10-26,118938.12,9255.6,high,high,high,2025-10-26,2023-08-02,128193.72,37,816,0
18,927,772248.6,Finance,medium,0,2014-12-25,121734.61,8286.31,high,medium,high,2017-12-25,2015-11-13,130020.92,133,773,1
19,1261,1026230.73,Retail,low,1,2019-07-24,229697.08,10527.02,medium,high,high,2022-07-24,2021-07-26,240224.09999999998,77,363,0
20,1731,1056344.42,Finance,medium,0,2012-06-15,66303.35,6605.67,high,high,high,2015-06-15,2014-12-10,72909.02,163,187,1
21,1568,1063146.85,Education,medium,0,2021-10-07,162746.28,7589.43,high,high,low,2024-10-07,2024-05-13,170335.71,50,147,0
22,1198,945938.72,Food and Beverage,high,1,2013-11-04,246627.04,6551.39,medium,high,high,2016-11-04,2015-09-22,253178.43000000002,147,409,0
